,Filename,Current Docket,Docket Numbers,Public Employer,Union,County,Arbitrator,Date Received,Award Type,Current Status,Appellate Court,Supreme Court
122,IA-2012-024.pdf,IA-2012-024,IA-2012-024 & IA-2012-026,Roselle Park Boro,PBA Loc 27,Union,"Osborn, S",05/03/2012,Conventional,Award Issued,,
123,ia-2012-018.pdf,IA-2012-019,IA-2012-019 & IA-2012-018,Pt Pleasant Boro,Pt Pleasant Boro SOA,Ocean,"Mason, F",05/02/2012,Conventional,Appealed,,
124,IA-2012-19.pdf,IA-2012-019,IA-2012-019 & IA-2012-018,Pt Pleasant Boro,Pt Pleasant Boro SOA,Ocean,"Mason, F",05/02/2012,Conventional,Appealed,,
125,ia-2012-018.pdf,IA-2012-018,IA-2012-018 & IA-2012-019,Pt Pleasant Boro,PBA Loc 158,Ocean,"Mason, F",05/02/2012,Conventional,Appealed,,
126,IA-2012-18.pdf,IA-2012-018,IA-2012-018 & IA-2012-019,Pt Pleasant Boro,PBA Loc 158,Ocean,"Mason, F",05/02/2012,Conventional,Appealed,,
127,IA-2012-23.pdf,IA-2012-023,IA-2012-023,Pemberton,PBA Loc 260,Burlington,"Mason, F",04/25/2012,Conventional,Award Issued,,
128,Remand IA-2012-016.pdf,IA-2012-016,IA-2012-016,Burlington Cty Prosecutor's Office,PBA Loc 320,Burlington,"Harris, J",04/24/2012,Conventional,Appealed,,
129,IA-2012-16 Clarification 2012.08.13.pdf,IA-2012-016,IA-2012-016,Burlington Cty Prosecutor's Office,PBA Loc 320,Burlington,"Harris, J",04/24/2012,Conventional,Appealed,,
130,PERC 2012-061.pdf,IA-2012-016,IA-2012-016,Burlington Cty Prosecutor's Office,PBA Loc 320,Burlington,"Harris, J",04/24/2012,Conventional,Appealed,,
131,IA-2012-16.pdf,IA-2012-016,IA-2012-016,Burlington Cty Prosecutor's Office,PBA Loc 320,Burlington,"Harris, J",04/24/2012,Conventional,Appealed,,
132,IA-2012-15 2012.07.09 Supplemental.pdf,IA-2012-015,IA-2012-015,Ramsey Boro,PBA Loc 155,Bergen,"Westerkamp, P",04/18/2012,Conventional,Appealed,,
133,PERC 2012-060.pdf,IA-2012-015,IA-2012-015,Ramsey Boro,PBA Loc 155,Bergen,"Westerkamp, P",04/18/2012,Conventional,Appealed,,
134,IA-2012-15.pdf,IA-2012-015,IA-2012-015,Ramsey Boro,PBA Loc 155,Bergen,"Westerkamp, P",04/18/2012,Conventional,Appealed,,
135,IA-2009-48.pdf,IA-2009-048,IA-2009-048,Neptune,PBA Loc 74,Monmouth,"Mastriani, J",04/16/2012,Conventional,Award Issued,,
136,IA-2012-022.pdf,IA-2012-022,IA-2012-022,Seaside Park Boro,PBA Loc 182,Ocean,"Osborn, S",04/09/2012,Conventional,Award Issued,,
137,IA-2011-6.pdf,IA-2011-006,IA-2011-006,Ocean Cty Prosecutor's Office,PBA Loc 171,Ocean,"Glasson, R",03/26/2012,Conventional,Award Issued,,
138,IA-2010-71.pdf,IA-2010-071,IA-2010-071,Atlantic Cty Sheriff's Office,PBA Loc 243,Atlantic,"Hundley, T",03/14/2012,Conventional,Award Issued,,
139,IA-2012-12.pdf,IA-2012-012,IA-2012-012,W Caldwell Tp,PBA Loc 81,Essex,"Gifford, R",03/12/2012,Conventional,Appealed,,
140,IA-2009-17.pdf,IA-2009-017,IA-2009-017,Guttenberg,PBA Loc 88,Hudson,"Mastriani, J",03/06/2012,Conventional,Award Issued,,
141,IA-2012-8 2012.05.24.pdf,IA-2012-008,IA-2012-008,New Milford Boro,PBA Loc 83,Bergen,"Westerkamp, P",02/27/2012,Conventional,Appealed,,
142,PERC 2012-53.pdf,IA-2012-008,IA-2012-008,New Milford Boro,PBA Loc 83,Bergen,"Westerkamp, P",02/27/2012,Conventional,Appealed,,
143,IA-2012-8.pdf,IA-2012-008,IA-2012-008,New Milford Boro,PBA Loc 83,Bergen,"Westerkamp, P",02/27/2012,Conventional,Appealed,,
144,IA-2009-26.pdf,IA-2009-026,IA-2009-026,Old Bridge Tp,PBA Loc 127,Middlesex,"Restaino, G",02/07/2012,Conventional,Award Issued,,
145,IA-2012-7.pdf,IA-2012-007,IA-2012-007,Oakland Boro,PBA Loc 164,Bergen,"Pecklers, M",02/06/2012,Conventional,Award Issued,,
146,IA-2009-111.pdf,IA-2009-111,IA-2009-111,Hackettstown,PBA Loc 369,Warren,"Restaino, G",01/30/2012,Conventional,Award Issued,,
147,IA-2010-118.pdf,IA-2010-118,IA-2010-118,Union Cty,FOP Lodge 103 (Superiors),Union,"Hundley, T",01/17/2012,Conventional,Award Issued,,
148,IA-2010-90.pdf,IA-2010-090,IA-2010-090,Fairfield Tp,PBA Loc 81,Essex,"Glasson, R",12/22/2011,Conventional,Award Issued,,
149,IA-2009-59 Supplemental 2012.03.13.pdf,IA-2009-059,IA-2009-059,Hudson Cty Prosecutor's Office,PBA Loc 232,Hudson,"Mastriani, J",12/19/2011,Conventional,Appealed,,
150,PERC 2012-37.pdf,IA-2009-059,IA-2009-059,Hudson Cty Prosecutor's Office,PBA Loc 232,Hudson,"Mastriani, J",12/19/2011,Conventional,Appealed,,
151,IA-2009-59.pdf,IA-2009-059,IA-2009-059,Hudson Cty Prosecutor's Office,PBA Loc 232,Hudson,"Mastriani, J",12/19/2011,Conventional,Appealed,,
152,IA-2010-115.pdf,IA-2010-115,IA-2010-115,Englewood Cliffs Boro,PBA Loc 45,Bergen,"Licata, J",12/15/2011,Conventional,Appealed,,
153,IA-2009-72.pdf,IA-2009-072,IA-2009-072 & IA-2009-071,Nutley Tp,PBA Loc 33 (SOA),Essex,"Glasson, R",11/28/2011,Conventional,Award Issued,,
154,IA-2009-71.pdf,IA-2009-071,IA-2009-071 & IA-2009-072,Nutley Tp,PBA Loc 33,Essex,"Glasson, R",11/28/2011,Conventional,Award Issued,,
155,IA-2009-72.pdf,IA-2009-071,IA-2009-071 & IA-2009-072,Nutley Tp,PBA Loc 33,Essex,"Glasson, R",11/28/2011,Conventional,Award Issued,,
156,IA-2011-21.pdf,IA-2011-021,IA-2011-021 & IA-2011-020,W Windsor Tp,PBA Loc 271 (SOA),Mercer,"Restaino, G",11/23/2011,Conventional,Award Issued,,
157,IA-2011-20.pdf,IA-2011-020,IA-2011-020 & IA-2011-021,W Windsor Tp,PBA Loc 271,Mercer,"Restaino, G",11/23/2011,Conventional,Award Issued,,
158,IA-2011-21.pdf,IA-2011-020,IA-2011-020 & IA-2011-021,W Windsor Tp,PBA Loc 271,Mercer,"Restaino, G",11/23/2011,Conventional,Award Issued,,
159,IA-2012-3.pdf,IA-2012-003,IA-2012-003,Springfield Tp,PBA Loc 76,Union,"Gifford, R",11/22/2011,Conventional,Award Issued,,
160,IA-2010-51 (2012.03.01).pdf,IA-2010-051,IA-2010-051,Milltown Boro,PBA Loc 338,Middlesex,"Weiss, E",11/21/2011,Conventional,Appealed,,
161,PERC 2012-033.pdf,IA-2010-051,IA-2010-051,Milltown Boro,PBA Loc 338,Middlesex,"Weiss, E",11/21/2011,Conventional,Appealed,,
162,IA-2010-51.pdf,IA-2010-051,IA-2010-051,Milltown Boro,PBA Loc 338,Middlesex,"Weiss, E",11/21/2011,Conventional,Appealed,,
163,IA-2010-40.pdf, IA-2010-041, IA-2010-041 & IA-2010-039 & IA-2010-040,NJ/State (State Police),State Troopers SOA,,"Mastriani, J",09/29/2011,Conventional,Award Issued,,
164,IA-2010-40.pdf,IA-2010-040,IA-2010-040 & IA-2010-041 & IA-2010-039,NJ/State (State Police),State Troopers NCO Assn,,"Mastriani, J",09/29/2011,Conventional,Award Issued,,
165,IA-2010-41.pdf,IA-2010-040,IA-2010-040 & IA-2010-041 & IA-2010-039,NJ/State (State Police),State Troopers NCO Assn,,"Mastriani, J",09/29/2011,Conventional,Award Issued,,
166,IA-2010-39.pdf,IA-2010-039,IA-2010-039 & IA-2010-040 & IA-2010-041,NJ/State (State Police),State Troopers Frat Assn,,"Mastriani, J",09/29/2011,Conventional,Award Issued,,
167,IA-2010-40.pdf,IA-2010-039,IA-2010-039 & IA-2010-040 & IA-2010-041,NJ/State (State Police),State Troopers Frat Assn,,"Mastriani, J",09/29/2011,Conventional,Award Issued,,
